"D55_130_T1_20180201"	"D55_130_T1_20181106"	"D55_PMN_130_T0_20180201"	"D55_PMN_130_T0_20181106"	"D55_PMN_130_T1_20180201"	"D55_PMN_130_T1_20181106"	"D60_130_T1_20180208"	"D60_130_T1_20181113"	"D60_PMN_130_T0_20180208"	"D60_PMN_130_T0_20181113"	"D60_PMN_130_T1_20180208"	"D60_PMN_130_T1_20181113"	"D6_130_T1_20180131"	"D6_130_T1_20181108"	"D6_PMN_130_T0_20180131"	"D6_PMN_130_T0_20181108"	"D6_PMN_130_T1_20180131"	"D6_PMN_130_T1_20181108"	"D55_H041_T1_20180201"	"D55_H041_T1_20190110"	"D55_PMN_H041_T0_20180201"	"D55_PMN_H041_T0_20190110"	"D55_PMN_H041_T1_20180201"	"D55_PMN_H041_T1_20190110"	"D60_H041_T1_20180208"	"D60_PMN_H041_T0_20180208"	"D60_PMN_H041_T0_20181212"	"D60_PMN_H041_T1_20180208"	"D60_PMN_H041_T1_20181212"	"D6_H041_T1_20180131"	"D6_PMN_H041_T0_20180131"	"D6_PMN_H041_T0_20190122"	"D6_PMN_H041_T1_20180131"	"D6_PMN_H041_T1_20190122"
"NGO_0382"	13.0706989816238	13.6110980388292	12.9138857919331	13.5296934884619	13.209368853505	13.5296148387763	13.2189194378725	13.5094322206403	13.3540240322332	12.9714407504835	13.1894496099134	13.5107930453209	13.1136062188307	13.4840508792904	13.5126870567806	13.2088005548391	13.4489874164443	13.5130416375555	13.4651485764072	13.833723013662	13.1312297437405	13.5020999815138	13.4165164960232	13.5702621970249	13.5674967954825	13.4983988321031	13.4958131234175	13.6182570689924	13.3740092403851	13.370093581272	13.4644777954574	13.4880252203356	13.0529282535505	13.3263830389718
"NGO_0383"	10.1132746329663	9.76312031083578	10.4955917968464	10.8122872085847	10.1337601093145	10.2581226717561	10.2795048617402	9.97110148855978	11.1091078161289	10.4683433156773	10.4663771589745	10.1650132669331	9.91736972157959	9.74780931687605	10.7031896928676	10.8531468345307	10.559726583144	10.4535990720308	10.3384743195596	9.98456403207418	10.7371799084635	11.0322397764884	9.97320224299586	10.9961477586634	10.0254870842027	11.131050407278	10.841137987139	10.6827040219277	10.8138356361978	10.1506148489441	11.0754331618062	10.7522340066874	10.0417036800144	10.5714746645782
"NGO_0384"	11.1116551204029	10.8133266033339	10.808608828849	11.045460480539	10.9361292121901	11.1622697116515	11.0380899319101	11.0690042891795	11.3376619717651	10.8800582940369	11.0763282605472	11.3292495765662	11.0251512874604	11.0427957878475	10.7480953043643	10.8586385157883	11.2796197153892	11.1937725569956	11.2106318382605	10.5635664045601	10.7611143053591	11.1605594789559	10.8240928561809	11.0016026324114	10.8122249110938	11.4247990974312	11.007217904096	11.0962514006107	10.927233558091	10.9471578814552	11.0321875038311	11.017681559824	10.7309722186547	11.1853383177644
"NGO_0385"	12.8857379065842	12.0714851449014	11.8317544398217	12.4225668641454	11.7215350293982	12.2392436688909	12.7934063849675	12.1833016679928	12.2777281085278	12.3939569430874	12.4452618408193	12.7137866420731	12.4237004659956	12.5072602560559	11.8397839907531	12.1286016083486	12.0859092130594	12.4031539278311	13.0739769934834	12.1445289173106	11.6684531194089	12.2637780530753	11.515650316794	12.2915931634049	13.1066076623228	12.4702766423727	12.1538316547798	12.2725111304286	12.4019483924103	12.7033417538296	11.9790751085738	12.2702603125718	11.4587548991382	12.5476714141009
"NGO_0386"	11.5119194157051	11.2187615317256	10.5380708305935	10.4269552817837	10.9442702335622	10.5817528116164	11.2576015001621	11.4391737454098	10.7757766509894	10.7393114900313	10.5749727889464	10.5378316226985	11.7600095081007	11.1619301786546	10.6140153302243	10.5738859458355	11.0588273743426	10.9345491515502	11.3909743675774	11.2691619882047	10.5185000399079	10.7018934771533	10.8130959302622	11.0602828111695	11.2976436045454	10.4706853040909	10.5627769010296	10.4699251895949	10.8122186276809	11.6054097763247	10.7830056768593	10.4580630949606	10.7868363806944	10.7427032204768
"NGO_0387"	11.5994175521236	11.4161667875403	11.3870502593808	11.1571583242091	11.9630044727739	11.6735647659791	11.5630420374449	11.3125330073279	11.6074256422404	11.8569532598912	11.4418128739514	11.7177534682088	11.865059801171	11.3850864039997	11.3627254783546	11.5755523796597	11.9255128491896	11.9686301270902	11.5586609622128	11.3007535368701	11.4551964750837	11.3002242846349	11.8311683513128	11.4144756466863	11.0050792554811	11.3704819950688	11.0455189957164	11.2100030439098	11.2486351930129	11.6893533377396	11.5448104304041	11.0446594651183	11.5901428753492	10.8594481697123
"NGO_0388"	12.2508199891328	11.7467106252995	11.2395024496646	11.3070130865277	11.8532724271099	11.5404720727835	11.7552137829786	11.755182491369	11.1836761221929	11.6965979397544	11.2428456384224	11.498487377202	12.2827354410516	11.6860952415797	11.3087976754843	11.1688506771576	11.9586348656125	11.7490067371325	11.4047391142834	10.7196766135728	10.6610132202051	10.7498369752955	11.0748499558271	10.9851757233648	10.4468528662723	10.6526706888619	10.4695865983555	10.303838819626	10.856038747305	10.9383701462655	11.0581067139782	10.5300482872349	11.0155829178392	10.3438363677876
"NGO_0389"	10.4585181050768	10.4105221258208	10.5969762896501	10.5504635631487	10.6010380440034	10.1883473192814	10.3232035741905	10.4110880503157	10.3396591804464	10.6395600379973	10.2036215100743	10.5200605960143	10.869593336403	10.2119578452444	10.6008137222602	10.6689428088691	10.5747287198568	10.3717832024298	10.5822807945461	10.2657496125183	10.0172621103111	10.1377434567163	10.465224438182	10.2878696916317	10.2498840326907	9.83114599040385	10.4230578196471	10.2446057400289	10.6524064053763	10.7431455578764	9.73693466115194	10.0299977889186	10.1348809604546	10.0831053168993
"NGO_0390"	9.08384037199538	9.61228281204286	9.70681344977776	9.24459443281979	9.41457355286571	9.12478294290282	9.45999696109922	9.61247803058066	9.72528541782743	9.9670077906881	9.67157272646583	8.7243660404133	9.25688042681618	9.18297642042359	9.07374433912071	9.97890224215779	9.21748214045848	9.21411481960284	9.16876577362302	10.0464151400564	9.00679091992448	9.63125737543755	9.53802339839043	9.45531068051342	9.57925113162016	9.41502857325299	9.51409491854809	9.8453888332338	9.4836144171162	9.59419429260104	8.66208364065953	9.63782834249007	9.20533666802104	9.27221901877885
"NGO_0391"	9.90682661389921	9.80018714665317	10.1678525092815	10.0388918338226	9.8492894586583	9.77018043087939	10.382777109351	10.2341648129827	10.3459884101339	10.2294025012112	10.2222974330186	8.92189587679751	9.87750694461003	9.10194504949853	9.99009636050766	10.2089049595954	9.79238287228632	9.7972042129322	9.91451104318139	10.3988221695731	9.7368613113657	10.1908267021068	9.6821046755726	10.186112088999	10.2765280970839	10.0638114579148	9.78725282857866	10.2243078334287	9.94440750829364	10.1759431007951	9.60236843689471	10.0746113569249	9.36088178045571	9.69648680261258
