"D55_130_T1_20180201"	"D55_130_T1_20181106"	"D55_PMN_130_T0_20180201"	"D55_PMN_130_T0_20181106"	"D55_PMN_130_T1_20180201"	"D55_PMN_130_T1_20181106"	"D60_130_T1_20180208"	"D60_130_T1_20181113"	"D60_PMN_130_T0_20180208"	"D60_PMN_130_T0_20181113"	"D60_PMN_130_T1_20180208"	"D60_PMN_130_T1_20181113"	"D6_130_T1_20180131"	"D6_130_T1_20181108"	"D6_PMN_130_T0_20180131"	"D6_PMN_130_T0_20181108"	"D6_PMN_130_T1_20180131"	"D6_PMN_130_T1_20181108"
"F9Z35_0011.p01"	10.2168310173945	9.88304204196471	9.32466348682395	9.25991423480211	9.11036320133378	10.5453411480561	9.02090583736112	10.3867542019454	9.48636855506376	9.92460708248511	9.17648841025724	9.68533910205357	9.84357299598827	10.4846915630755	9.14436973078585	10.1245246043465	9.70520403920152	10.1078980290424
"F9Z35_0012.p01"	8.69414377264336	7.72528212207198	6.94838154415834	6.77748247910202	6.56413049270891	7.87131709428402	8.08605399118892	8.6294616544591	7.7724461253779	7.78427644286278	7.22419186622581	7.04879371411281	7.66843826369724	8.00084154785475	6.93647719117613	7.4372431012219	6.81218317079189	7.25027840695309
"F9Z35_0013.p01"	10.3478348275216	10.0105715223948	10.6212866355658	10.2321637901154	10.3632804896582	10.758599666722	10.2765647463337	10.5334552791518	10.6630745286197	10.163044762212	10.3986671745037	10.3019528933952	10.1371439906444	10.2156230617474	10.9356737242273	10.5955905251126	10.4619223062692	10.6169347623639
"F9Z35_0014.p01"	9.46639679101523	9.27489650013464	8.99431403457602	8.63843829707954	8.68726859176656	9.72819997824906	8.71061185219853	9.74865353748091	9.18518107278303	9.39801595362246	8.90017943021274	8.23706248006177	9.5514417182305	8.85403288186982	8.99475746181069	9.68942996509467	9.36478926346068	9.27022024145601
"F9Z35_0015.p01"	8.95003052915082	8.86854471578966	9.27910815193357	8.6111959098803	8.54109049851786	9.78095088702743	8.16317291606586	9.25315687717882	9.04261231520571	9.25063141036826	8.77511742706649	8.64427989122012	8.59637948677608	8.63344782302149	9.2486283576514	9.24646188781689	9.15471869634073	8.9939826931814
"F9Z35_0016.p01"	10.0613036837946	9.46023413599018	9.59787315117186	9.24582407371774	9.14967078853806	10.3294456103702	8.98955160340569	9.85870337731534	9.2639928515082	9.8881383413309	9.22646171356644	9.18659574786147	10.4498653972978	9.09455671964471	9.24575188825934	9.98845187324623	9.69413591176705	9.77058220288351
"F9Z35_0017.p01"	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406
"F9Z35_0018.p01"	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406
"F9Z35_0019.p01"	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406
"F9Z35_0020.p01"	4.13171089739915	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406	3.89996382438406
