"D55_H041_T1_20180201"	"D55_H041_T1_20190110"	"D55_PMN_H041_T0_20180201"	"D55_PMN_H041_T0_20190110"	"D55_PMN_H041_T1_20180201"	"D55_PMN_H041_T1_20190110"	"D60_H041_T1_20180208"	"D60_PMN_H041_T0_20180208"	"D60_PMN_H041_T0_20181212"	"D60_PMN_H041_T1_20180208"	"D60_PMN_H041_T1_20181212"	"D6_H041_T1_20180131"	"D6_PMN_H041_T0_20180131"	"D6_PMN_H041_T0_20190122"	"D6_PMN_H041_T1_20180131"	"D6_PMN_H041_T1_20190122"
"F9Z36_0025.p01"	8.5636319075156	7.40260963321425	9.08593537047065	9.30226962372178	8.44433622951288	8.10994614935765	8.77312898524936	9.61765918913831	9.06243262677793	8.9567046978117	8.23571780344108	7.88054329483093	9.35671067371865	8.88480793665663	8.31564544831614	8.79949449881075
"F9Z36_0026.p01"	14.7748137583436	14.9745282957677	15.5433967069893	15.0948609583346	15.0818014510346	14.378513353396	14.4717006058036	15.6846581144579	15.1874150185227	15.6423051606392	14.3154554885308	14.690009029937	15.7385888906563	15.1554619079174	15.3494920699359	14.7882244281378
"F9Z36_0027.p01"	8.7976396915885	8.63433350343403	8.91814033789588	9.16309918856301	9.16740942527596	9.14044977140857	9.04008484943236	9.1902199512494	9.24628118794102	9.02210493173621	9.17500187767372	8.8157556605075	9.36194710065399	8.89817880292239	9.11975820771107	9.29756862749706
"F9Z36_0028.p01"	10.586261294232	10.1982854909249	10.3478723279866	10.706937059969	10.3522095996272	10.5845187579353	10.5524925396944	10.5210082753837	10.3784439737947	10.5029359502799	10.4449966932105	10.4937365436078	10.6610996927006	10.0744388480006	10.3788006548581	10.5367544506313
"F9Z36_0029.p01"	6.39761172876112	7.09136835342682	6.39454612507546	6.49384595148645	6.47802288154819	6.17077406997015	7.05496777756821	6.61648097546496	5.6423338923886	6.06638111068662	5.56881589712969	6.59168808350585	6.26662286508705	6.84137362120184	6.52396952284981	6.06214775307903
"F9Z36_0030.p01"	8.22786158293199	7.90414439154434	7.58359866069101	7.80119651847818	7.66822364423244	7.36055938230196	7.87820269859728	7.74546283599075	7.55447667411423	7.17769959059175	7.28978472463058	8.22164174864361	7.72151936188829	7.88000682485375	7.54997236835204	7.27519011401212
"F9Z36_0031.p01"	14.3376053397916	15.3287903140207	14.8844137048425	15.0688152186836	14.9454277915167	14.6017515714771	14.6205141493647	15.1220510598068	15.2916115458953	14.8403812534208	14.6353149860112	14.371491283511	15.378980754744	14.72062430102	14.9874295444792	14.5188391980574
"F9Z36_0032.p01"	12.3865301857168	11.2520460877561	11.2823153170795	11.1216207643722	11.226761622821	11.1084607941283	11.9467777968837	10.9768297188529	11.3310211587532	10.9602669084018	11.1731060184282	12.3929742962045	11.470302992712	11.0978008027484	11.315420770088	11.6216469977044
"F9Z36_0033.p01"	10.9781007957191	12.3004593930558	10.0666142766129	10.6943707754256	10.2340476473502	10.8614887748855	11.4520563569255	10.3319271041469	10.8306705225895	10.2575623252257	10.9621252047672	11.3478998815069	10.044313206943	10.7984817803705	10.1701828026041	10.630518080476
"F9Z36_0034.p01"	7.79207512528244	7.6651562964572	6.96858287107899	7.39381614908127	7.17816483782612	6.98862340422591	7.63849712277998	7.51063828604474	6.78571606328118	6.60012106683135	6.74782815622956	7.84169812081954	6.48971661672751	7.24808836793606	7.90710213601075	7.48336655022891
